"country_name","year","Health_expendGDP","Outpocket_expend","Education_expendGDP","Physicians","Mortality_rate","Literacy_rate","Open_defecation","managed_water","continent"
"Afghanistan",2010,8.56967163,78.9966507,3.479449987,0.2365,20.3,91.272994995,1,55.75332056,"Asia"
"Afghanistan",2011,8.56190681,73.25517273,3.462009907,0.2518,83.9,17.01783943,17.66914391,19.96687464,"Asia"
"Afghanistan",2013,8.80596447,72.04786682,3.454459906,0.2846,20.3,91.272994995,1,55.75332056,"Asia"
"Afghanistan",2014,9.52887821,73.05592346,3.695219994,0.2983,20.3,91.272994995,1,55.75332056,"Asia"
"Afghanistan",2015,10.10534763,78.3822937,3.255800009,0.285,20.3,91.272994995,1,55.75332056,"Asia"
"Afghanistan",2016,10.96199989,75.97433472,3.511980057,0.2782,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2000,4.19581175,62.01095581,2.772730112,2.7007,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2001,4.64563894,50.87960434,2.469439983,2.6187,29.2,99.16107178,0.075540822,80.00290747,"Asia"
"Armenia",2002,7.61358738,75.23449707,2.135040045,2.5633,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2003,7.17936134,76.42555237,2.145040035,2.4563,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2004,6.05510092,71.58870697,2.486730099,2.4604,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2005,5.8618803,62.9359169,2.712029934,2.5643,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2006,5.85007095,61.17356873,2.715770006,2.5897,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2007,5.49814034,58.2291832,3.018939972,2.6724,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2008,6.63976574,71.43701172,3.172729969,2.7432,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2009,8.44377613,73.63292694,3.840790033,2.7679,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2010,9.23538303,77.62413025,3.249000072,2.8419,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2011,9.37588787,78.4196701,3.143850088,2.8677,17.6,99.69035339,0.030301184,81.79551015,"Asia"
"Armenia",2012,9.13455009,78.58730316,2.772480011,2.8968,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2013,10.32345009,82.8755722,2.650180101,2.9031,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2014,10.17827797,82.48136902,2.247240067,2.8928,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2015,10.1176281,81.62987518,2.80591011,2.9143,20.3,91.272994995,1,55.75332056,"Asia"
"Armenia",2017,10.36270523,84.34807587,2.707590103,4.4023,1,99.67716217,0.01094746,85.42311993,"Asia"
"Azerbaijan",2000,2.94894385,68.60791016,3.853990078,3.5743,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2001,2.75584769,70.0835495,3.503420115,3.548,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2002,2.73274231,72.29073334,3.154459953,3.5618,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2003,2.73488688,68.867836,3.286149979,3.5505,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2004,2.66530418,65.7750473,3.447700024,3.5568,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2005,2.26107669,58.51049423,2.974620104,3.5819,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2006,2.06678391,56.38795471,2.555520058,3.5649,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2007,1.99021435,52.713871,2.549279928,3.7124,45.8,99.38394165,0.172745627,70.74662724,"Asia"
"Azerbaijan",2008,1.93880868,54.16812134,2.44092989,3.6844,20.3,91.272994995,1,55.75332056,"Asia"
"Azerbaijan",2009,2.6137836,55.5350914,3.224309921,3.6751,40.1,99.68215179,0.174065643,74.66394509,"Asia"
"Azerbaijan",2010,2.48996663,57.92219543,2.780620098,3.6629,37.4,99.69262695,0.174763175,76.66510273,"Asia"
"Azerbaijan",2011,2.44641805,59.86849594,2.435640097,3.4376,1,99.70496368,0.17548651,78.69497302,"Asia"
"Azerbaijan",2012,2.96481562,60.62773895,2.067630053,3.4901,32.6,99.70285797,0.176239295,80.46702109,"Asia"
"Azerbaijan",2013,3.03672314,64.20559692,2.442130089,3.4558,30.4,99.71681976,0.177024732,81.96018446,"Asia"
"Azerbaijan",2014,3.37713742,65.57722473,2.633039951,3.446,28.3,99.7196579,0.177847106,83.47031373,"Asia"
"Azerbaijan",2015,4.19000292,47.22499084,3.40350008,1.5829,26.3,99.7171402,0.088274497,84.99569481,"Asia"
"Azerbaijan",2016,4.19000292,47.22499084,3.40350008,1.5829,24.6,99.71955109,0.087676074,85.69377094,"Asia"
"Azerbaijan",2017,4.19000292,47.22499084,3.40350008,1.5829,1,99.72199249,0.087048404,86.38904431,"Asia"
"Bahrain",2001,4.19000292,47.22499084,3.40350008,1.5829,1,83.55741882,1,98.84970743,"Asia"
"Bahrain",2006,3.06248927,27.09490967,2.874409914,1.0142,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2007,3.30373311,30.15912437,2.575000048,1.0155,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2008,3.28510404,27.22068405,2.496779919,0.9896,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2010,4.19000292,47.22499084,3.40350008,1.5829,8.5,89.01043701,1,98.96788255,"Asia"
"Bahrain",2012,4.10642147,26.80383301,2.645309925,0.957,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2013,4.30853891,26.91797256,2.476890087,0.9536,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2014,4.40681839,26.17599869,2.467459917,0.9573,20.3,91.272994995,1,55.75332056,"Asia"
"Bahrain",2015,4.97506618,25.84038734,2.674540043,0.9257,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2001,1.98674393,65.14016724,2.171930075,0.2498,81.6,40.823349,15.77866165,55.27115966,"Asia"
"Bangladesh",2003,2.19150281,62.38762665,2.069390059,0.2714,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2004,2.21405101,62.50523758,1.940140009,0.2809,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2006,2.32201099,65.07526398,2.131289959,0.3167,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2007,2.38769174,65.81632233,2.202219963,0.3293,57.7,43.74084854,9.901515171,55.07018233,"Asia"
"Bangladesh",2008,2.34595656,67.16353607,2.05456996,0.342,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2009,2.4033823,67.23670197,1.939419985,0.3544,20.3,91.272994995,1,55.75332056,"Asia"
"Bangladesh",2011,2.56593657,67.3722229,2.132699966,0.3839,46.1,55.11943817,6.200095368,54.86629665,"Asia"
"Bangladesh",2012,2.57301211,67.46909332,2.175499916,0.4001,43.8,54.23603821,5.30484137,55.20873295,"Asia"
"Bangladesh",2013,2.50334787,68.5146637,1.966160059,0.4218,41.6,57.78900146,4.422388071,55.56673972,"Asia"
"Bangladesh",2014,4.19000292,47.22499084,3.40350008,1.5829,39.5,57.8609314,3.552648541,55.9399014,"Asia"
"Bangladesh",2015,4.19000292,47.22499084,3.40350008,1.5829,37.5,62.25299072,2.695839017,56.32891798,"Asia"
"Bangladesh",2016,2.31178045,73.12600708,1.535539985,0.4974,35.7,69.89720917,1.851918354,56.73353706,"Asia"
"Bangladesh",2017,4.19000292,47.22499084,3.40350008,1.5829,33.9,70.08570099,1.020961285,57.15407412,"Asia"
"Bangladesh",2018,4.19000292,47.22499084,3.40350008,1.5829,32.3,71.18193817,0.220962759,57.59065733,"Asia"
"Bhutan",2004,4.46532822,16.25363731,6.609069824,0.1847,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2005,4.19000292,47.22499084,3.40350008,1.5829,57.4,38.68066025,7.388524299,31.41844539,"Asia"
"Bhutan",2008,3.30082774,15.47424793,4.911590099,0.2546,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2010,3.47357607,16.4826355,4.12473011,0.023,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2012,4.19000292,47.22499084,3.40350008,1.5829,37.9,45.20450974,3.582970174,34.36864461,"Asia"
"Bhutan",2013,3.62129545,20.31390381,5.722750187,0.2858,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2014,3.46891737,21.17123222,6.04489994,0.3393,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2015,3.65720773,19.79465866,7.590099812,0.3448,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2016,3.48117137,20.12969589,6.993330002,0.4059,20.3,91.272994995,1,55.75332056,"Asia"
"Bhutan",2017,3.24491644,13.3064661,7.225739956,0.4024,30.6,57.08361816,1.048451385,36.1630326,"Asia"
"Bhutan",2018,3.0574255,13.16380501,6.850840092,0.4242,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2000,6.54116726,68.68592072,1.666810036,0.1684,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2004,4.19000292,47.22499084,3.40350008,1.5829,70.8,64.05098724,73.25247817,18.90913924,"Asia"
"Cambodia",2008,4.19000292,47.22499084,3.40350008,1.5829,51.5,69.58641052,59.74698092,20.81578901,"Asia"
"Cambodia",2009,7.58330584,50.50344467,1.665680051,0.2378,47.7,69.10901642,56.27551765,21.37751637,"Asia"
"Cambodia",2010,6.9116993,51.90946579,1.533789992,0.2302,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2011,7.50353098,59.74187851,1.510689974,0.2263,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2012,7.26115417,60.47090912,1.560899973,0.1651,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2013,7.10386801,61.22215271,2.05053997,0.4758,20.3,91.272994995,1,55.75332056,"Asia"
"Cambodia",2014,6.70157766,58.62177658,1.909389973,0.1927,33.3,71.78179932,39.07311324,24.23943634,"Asia"
"Cambodia",2015,4.19000292,47.22499084,3.40350008,1.5829,31.6,75.03386688,35.66522949,24.82287522,"Asia"
"China",2010,4.2079916,40.8000145,3.754640102,1.4532,20.3,91.272994995,1,55.75332056,"Asia"
"China",2011,4.32551336,40.26554108,3.52196002,1.4637,20.3,91.272994995,1,55.75332056,"Asia"
"China",2012,4.5493989,39.23458862,4.077429771,1.5367,20.3,91.272994995,1,55.75332056,"Asia"
"China",2013,4.71002245,38.15951538,3.852509975,1.6332,20.3,91.272994995,1,55.75332056,"Asia"
"China",2014,4.77322769,36.56483459,3.726639986,1.6877,20.3,91.272994995,1,55.75332056,"Asia"
"China",2015,4.8887229,35.0892868,3.82487011,1.7732,20.3,91.272994995,1,55.75332056,"Asia"
"China",2016,4.98188066,35.90618515,3.79362011,1.8647,20.3,91.272994995,1,55.75332056,"Asia"
"China",2017,5.15119171,36.05040741,3.667449951,1.9798,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2000,5.30800056,55.9019165,4.9895401,1.9082,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2001,5.33940458,55.2161293,5.11552,1.915,6.2,95.07965851,1,95.6425083,"Asia"
"Cyprus",2002,5.61565971,52.7716217,5.581669807,1.8782,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2003,5.63568783,47.65464783,6.670229912,1.8619,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2004,5.40558147,49.88217926,6.117720127,1.9121,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2005,5.43580961,49.8321991,6.286670208,1.8965,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2006,5.46357489,48.32824707,6.330269814,1.8374,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2007,5.35744858,48.79761505,6.280829906,2.0147,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2008,6.01427698,51.40008163,6.722760201,2.0507,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2009,6.46531582,49.92380524,7.205450058,2.1064,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2010,6.51767111,43.10596848,6.54279995,2.1562,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2011,6.44928503,41.37463379,6.538539886,2.2484,3.3,98.1162262,1,97.98940241,"Asia"
"Cyprus",2013,6.94518471,42.59913254,6.483779907,2.4076,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2014,6.9609561,45.11098099,6.440499783,2.4993,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2015,6.92568588,44.7154007,6.326129913,2.6236,20.3,91.272994995,1,55.75332056,"Asia"
"Cyprus",2016,6.83423901,46.11189651,6.145410061,1.9509,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2000,7.39698839,80.98434448,2.181050062,3.8371,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2001,7.37039232,76.43830109,2.137500048,3.7156,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2002,8.03379822,77.12854767,2.235019922,3.8069,31.5,99.55284882,0.933138334,62.27734355,"Asia"
"Georgia",2003,8.2554884,79.20792389,2.065599918,3.8267,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2004,8.3163681,79.43696594,2.914200068,3.8009,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2005,8.30393314,79.585495,2.484319925,3.8164,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2006,7.84626532,77.264328,3.00364995,3.8683,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2007,7.64387417,75.67359924,2.696870089,3.9027,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2008,8.68152046,66.54589081,2.919549942,4.0001,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2009,9.83542728,68.90898895,3.222379923,4.2219,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2010,9.54538918,72.72727203,2.803649902,4.4466,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2011,8.38810349,75.61214447,2.576139927,4.5004,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2012,8.37314224,73.43678284,1.906100035,4.4868,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2013,8.3957243,69.07719421,2.886719942,4.5145,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2014,8.43881893,65.97560883,2.997679949,4.7754,10.9,99.51457977,0.123740149,64.99382975,"Asia"
"Georgia",2015,7.93235874,57.32433701,3.164870024,5.0055,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2016,8.42134666,55.51872253,3.593869925,5.9973,20.3,91.272994995,1,55.75332056,"Asia"
"Georgia",2017,7.05804443,54.76190567,3.574429989,6.1297,1,99.2947464,0.005210503,65.66411509,"Asia"
"Georgia",2018,7.11329746,47.668293,3.52105999,7.1201,20.3,91.272994995,1,55.75332056,"Asia"
"India",2000,4.03493309,71.70202637,4.324790001,0.5258,20.3,91.272994995,1,55.75332056,"Asia"
"India",2003,4.00848055,73.42475128,3.613409996,0.5627,20.3,91.272994995,1,55.75332056,"Asia"
"India",2004,3.95739198,72.48266602,3.352540016,0.5717,20.3,91.272994995,1,55.75332056,"Asia"
"India",2005,3.79116249,73.14936829,3.188750029,0.5758,20.3,91.272994995,1,55.75332056,"Asia"
